['5', '7', '12']
['10', '8', '9']
['6', '10', '2']
['12', '6', '10']
['11', '7', '12']
['11', '6', '9']
['11', '7', '4']
['6', '7', '14']
['6', '11', '14']
['7', '9', '10']
['7', '12', '10']
['6', '15', '8']
['11', '9', '9']
['8', '11', '12']
['7', '10', '9']
['10', '15', '9']
['5', '14', '10']
['7', '6', '8']
['11', '9', '6']
['14', '7', '7']
['8', '14', '13']
['9', '12', '12']
['8', '8', '9']
['5', '7', '4']
['8', '10', '3']
['7', '11', '8']
['6', '14', '8']
['18', '19', '10']
['8', '10', '8']
['16', '8', '8']
['9', '15', '7']
['12', '16', '18']
['12', '12', '11']
['11', '14', '6']
['11', '4', '13']
['10', '10', '4']
['7', '9', '14']
['16', '10', '9']
['11', '12', '7']
['11', '11', '15']
['11', '9', '5']
['12', '8', '11']
['13', '3', '6']
['12', '10', '12']
['10', '10', '10']
['11', '3', '9']
['12', '10', '11']
['7', '11', '5']
['5', '8', '5']
['4', '6', '6']
['3', '10', '11']
['10', '14', '13']
['8', '8', '14']
['6', '9', '9']
['6', '5', '7']
['13', '6', '7']
['10', '12', '15']
['10', '11', '3']
['5', '11', '4']
['6', '6', '5']
['5', '4', '4']
['11', '6', '3']
['6', '8', '11']
['8', '15', '6']
['14', '9', '20']
['7', '14', '13']
['1', '9', '5']
['16', '16', '1']
['12', '7', '8']
['7', '8', '4']
['6', '8', '3']
['7', '8', '7']
['3', '9', '10']
['7', '5', '13']
['11', '6', '5']
['4', '8', '7']
['10', '9', '8']
['10', '16', '7']
['11', '13', '9']
['5', '7', '19']
['15', '5', '8']
['6', '16', '7']
['8', '4', '17']
['6', '2', '12']
['20', '14', '5']
['10', '14', '18']
['14', '7', '10']
['10', '8', '18']
['5', '10', '1']
['8', '8', '9']
['6', '9', '8']
['5', '3', '8']
['12', '17', '12']
['5', '6', '11']
['13', '5', '6']
['4', '11', '17']
['6', '10', '9']
['4', '9', '3']
['7', '18', '3']
['15', '9', '10']
['9', '16', '9']
['16', '3', '10']
['5', '16', '16']
['6', '11', '9']
['6', '7', '5']
['12', '8', '7']
['12', '9', '14']
['12', '5', '16']
['12', '8', '8']
['13', '13', '7']
['8', '7', '7']
['18', '7', '7']
['9', '6', '13']
['8', '11', '7']
['6', '12', '5']
['13', '15', '7']
['7', '10', '10']
['8', '5', '6']
['10', '9', '18']
['8', '9', '7']
['6', '20', '15']
['8', '10', '6']
['7', '14', '7']
