 ft st fps fpr sps spr tps tpr data
89 Торпедо "Динамо Москва" 6 9 12 9 8 7 30.11.2018
90 Трактор "Динамо Рига" 6 12 7 14 7 15 30.11.2018
91 "Салават Юлаев" Адмирал 13 12 8 4 11 8 29.11.2018
92 Барыс Автомобилист 14 6 3 12 8 6 29.11.2018
93 "Витязь Подольск" "Слован Братислава" 7 7 13 8 11 12 29.11.2018
94 "Ак Барс" Локомотив 7 7 9 14 7 5 29.11.2018
95 Авангард Автомобилист 14 6 16 9 7 6 29.11.2018
96 "Спартак Москва" Северсталь 12 9 14 9 4 8 29.11.2018
97 "Салават Юлаев" "Металлург Магнитогорск" 4 19 4 3 8 9 28.11.2018
98 Трактор Адмирал 8 13 5 17 8 8 28.11.2018
99 "Куньлунь РС" Сибирь 12 9 8 11 9 4 28.11.2018
100 Амур Сочи 12 12 14 6 10 5 28.11.2018
101 "Динамо Рига" ЦСКА 9 5 14 7 6 6 28.11.2018
102 "Витязь Подольск" СКА 8 7 3 9 11 7 28.11.2018
103 "Динамо Минск" Йокерит 7 4 11 10 16 6 28.11.2018
104 "Динамо Москва" "Слован Братислава" 7 9 7 7 11 4 27.11.2018
105 "Ак Барс" Торпедо 6 19 13 11 13 14 27.11.2018
106 Нефтехимик Локомотив 8 7 8 9 8 10 27.11.2018
107 "Куньлунь РС" Сибирь 9 10 4 10 9 9 26.11.2018
108 Северсталь Барыс 15 3 10 17 11 12 26.11.2018
109 "Салават Юлаев" Автомобилист 9 5 8 10 11 5 26.11.2018
110 Адмирал Сочи 10 6 6 12 8 9 26.11.2018
111 "Динамо Рига" СКА 14 9 9 10 5 15 26.11.2018
112 "Динамо Москва" Йокерит 14 7 14 14 11 8 26.11.2018
113 ЦСКА "Витязь Подольск" 8 9 14 16 4 12 25.11.2018
114 "Ак Барс" Нефтехимик 12 10 15 6 13 8 25.11.2018
115 "Металлург Магнитогорск" Торпедо 13 11 10 12 5 5 25.11.2018
116 Амур Сибирь 11 14 11 4 11 13 25.11.2018
117 "Слован Братислава" Авангард 9 9 11 17 7 15 24.11.2018
118 Локомотив Барыс 3 8 13 9 10 8 24.11.2018
119 "Салават Юлаев" "Динамо Минск" 10 12 12 8 4 11 24.11.2018
120 "Куньлунь РС" Сочи 7 15 9 16 6 8 24.11.2018
121 Северсталь "Динамо Москва" 14 7 7 13 25 10 24.11.2018
122 ЦСКА СКА 3 7 11 16 10 11 23.11.2018
123 Автомобилист "Ак Барс" 11 9 8 14 4 16 23.11.2018
124 "Металлург Магнитогорск" Нефтехимик 12 6 17 7 15 6 23.11.2018
125 Трактор Торпедо 8 4 7 16 12 6 23.11.2018
126 "Динамо Рига" Авангард 10 7 12 6 7 4 23.11.2018
127 "Слован Братислава" "Витязь Подольск" 8 6 6 12 10 7 22.11.2018
128 Йокерит Барыс 12 7 6 8 7 7 22.11.2018
129 "Куньлунь РС" "Спартак Москва" 14 10 10 10 13 4 22.11.2018
130 Адмирал "Динамо Минск" 15 12 9 13 13 8 22.11.2018
131 Локомотив "Динамо Москва" 4 11 11 13 4 8 22.11.2018
132 Северсталь СКА 10 6 12 12 10 5 21.11.2018
133 Автомобилист Торпедо 6 11 10 13 7 9 21.11.2018
134 "Металлург Магнитогорск" "Ак Барс" 11 9 16 6 9 6 21.11.2018
135 Трактор Нефтехимик 16 8 10 8 6 8 21.11.2018
136 "Динамо Рига" "Витязь Подольск" 5 8 11 8 7 3 21.11.2018
137 Йокерит Авангард 13 8 17 2 20 7 20.11.2018
138 ЦСКА Сочи 10 9 12 12 8 6 20.11.2018
139 "Куньлунь РС" "Динамо Минск" 7 13 16 8 5 8 20.11.2018
140 Амур "Спартак Москва" 6 7 10 6 9 5 19.11.2018
141 Автомобилист Нефтехимик 7 12 16 5 4 12 19.11.2018
142 Трактор "Ак Барс" 12 16 3 16 6 10 19.11.2018
143 Сибирь "Салават Юлаев" 4 9 13 8 5 13 19.11.2018
144 ЦСКА "Слован Братислава" 4 11 15 10 16 7 19.11.2018
145 Северсталь Сочи 6 9 10 12 10 11 18.11.2018
146 Торпедо Авангард 10 5 5 10 5 6 18.11.2018
147 Адмирал "Спартак Москва" 9 6 12 8 9 14 18.11.2018
148 Амур "Динамо Минск" 17 14 15 13 9 10 18.11.2018
149 Йокерит Локомотив 10 4 7 10 7 5 17.11.2018
150 СКА "Металлург Магнитогорск" 7 11 9 1 8 5 17.11.2018
151 Барыс "Салават Юлаев" 5 10 11 18 8 17 17.11.2018
152 Сибирь "Динамо Москва" 9 15 6 11 7 8 16.11.2018
153 "Ак Барс" "Динамо Рига" 7 12 8 11 4 6 16.11.2018
154 Нефтехимик ЦСКА 11 3 12 9 8 7 16.11.2018
155 Торпедо "Слован Братислава" 12 7 6 11 13 9 16.11.2018
156 "Витязь Подольск" "Металлург Магнитогорск" 2 8 13 4 10 11 16.11.2018
157 "Динамо Минск" Автомобилист 10 7 20 7 16 9 16.11.2018
158 СКА Трактор 8 11 11 11 12 9 16.11.2018
159 Сочи Северсталь 9 11 5 9 12 9 16.11.2018
160 "Спартак Москва" Локомотив 4 8 10 7 10 8 15.11.2018
161 "Салават Юлаев" Адмирал 11 16 10 9 15 5 15.11.2018
162 Барыс "Динамо Москва" 6 9 14 12 11 7 15.11.2018
163 Сибирь Амур 10 7 13 6 12 8 14.11.2018
164 "Ак Барс" ЦСКА 3 5 15 10 10 10 14.11.2018
165 Нефтехимик "Слован Братислава" 5 8 5 6 9 8 14.11.2018
166 Торпедо "Динамо Рига" 12 5 12 6 5 7 14.11.2018
167 Авангард "Динамо Москва" 9 5 11 4 15 6 14.11.2018
168 "Витязь Подольск" Трактор 11 1 10 7 7 4 14.11.2018
169 "Динамо Минск" "Металлург Магнитогорск" 10 10 6 5 9 6 14.11.2018
170 Йокерит Северсталь 10 6 12 6 13 5 14.11.2018
171 СКА Адмирал 11 7 15 14 9 4 14.11.2018
172 Сочи Локомотив 7 3 5 15 9 10 13.11.2018
173 "Спартак Москва" Автомобилист 11 11 16 8 15 4 13.11.2018
174 Барыс Амур 4 10 8 5 9 4 13.11.2018
175 Сибирь "Куньлунь РС" 7 6 14 4 9 11 12.11.2018
176 "Ак Барс" "Слован Братислава" 7 10 6 20 5 7 12.11.2018
177 Нефтехимик "Динамо Рига" 6 9 12 7 3 13 12.11.2018
178 Торпедо ЦСКА 8 13 17 7 6 13 12.11.2018
179 Авангард Амур 9 8 17 6 8 9 12.11.2018
180 "Витязь Подольск" Локомотив 13 6 14 4 14 8 12.11.2018
181 "Динамо Минск" Трактор 8 10 22 7 5 14 12.11.2018
182 СКА Автомобилист 11 6 16 8 14 4 06.11.2018
183 "Спартак Москва" "Металлург Магнитогорск" 10 10 7 4 5 8 06.11.2018
184 Северсталь Адмирал 4 3 9 12 10 17 05.11.2018
185 Сибирь Барыс 6 5 11 9 7 5 05.11.2018
186 Сочи "Динамо Минск" 10 7 7 8 3 19 05.11.2018
187 Северсталь Йокерит 15 6 11 7 16 4 05.11.2018
188 "Слован Братислава" Барыс 9 7 7 10 19 3 05.11.2018
189 Авангард "Куньлунь РС" 17 10 11 16 5 11 05.11.2018
190 "Витязь Подольск" Локомотив 10 7 7 7 7 8 05.11.2018
191 "Динамо Москва" "Спартак Москва" 16 4 11 8 9 3 04.11.2018
192 Нефтехимик "Салават Юлаев" 9 11 14 3 8 5 04.11.2018
193 Торпедо "Ак Барс" 7 7 9 8 5 15 04.11.2018
194 ЦСКА СКА 11 10 9 9 18 5 04.11.2018
195 ЦСКА Йокерит 5 4 6 9 7 12 03.11.2018
196 Автомобилист Сибирь 19 5 11 2 6 5 03.11.2018
197 "Металлург Магнитогорск" Амур 13 12 4 8 9 12 03.11.2018
198 Трактор Сочи 12 5 9 13 15 6 03.11.2018
199 "Слован Братислава" Локомотив 4 10 14 10 7 8 03.11.2018
200 Авангард Адмирал 6 9 7 13 11 2 03.11.2018
201 "Витязь Подольск" "Куньлунь РС" 15 2 10 11 10 8 02.11.2018
202 "Динамо Минск" Барыс 13 11 8 11 4 13 02.11.2018
203 Нефтехимик "Ак Барс" 11 11 14 10 8 12 02.11.2018
204 Торпедо "Салават Юлаев" 10 14 3 15 7 8 01.11.2018
205 СКА Амур 7 7 12 7 10 8 01.11.2018
206 Автомобилист Сочи 6 6 12 6 6 18 01.11.2018
207 "Металлург Магнитогорск" Йокерит 9 16 11 5 6 7 01.11.2018
208 "Динамо Рига" Локомотив 28 5 21 13 12 13 01.11.2018
209 Авангард Адмирал 6 5 12 10 14 5 01.11.2018
210 "Динамо Минск" "Куньлунь РС" 22 8 10 8 16 2 01.11.2018
211 "Слован Братислава" Сибирь 13 14 5 13 11 8 31.10.2018
212 Торпедо Северсталь 10 8 8 7 10 8 31.10.2018
213 "Салават Юлаев" "Спартак Москва" 7 13 18 12 4 14 31.10.2018
214 Барыс Трактор 13 9 9 7 13 7 31.10.2018
215 "Витязь Подольск" Амур 8 4 13 9 8 10 30.10.2018
216 Нефтехимик "Динамо Москва" 11 7 15 2 14 7 30.10.2018
217 Автомобилист Йокерит 10 4 9 5 9 1 30.10.2018
218 "Металлург Магнитогорск" Сочи 12 11 4 12 5 17 30.10.2018
219 "Динамо Рига" Северсталь 10 5 20 12 7 12 30.10.2018
220 СКА "Куньлунь РС" 7 3 9 7 10 8 29.10.2018
221 ЦСКА Сибирь 18 8 15 6 19 6 29.10.2018
222 Трактор "Спартак Москва" 8 11 6 12 6 17 29.10.2018
223 Барыс Адмирал 11 8 12 9 7 11 28.10.2018
224 "Динамо Минск" Амур 9 10 9 9 13 8 28.10.2018
225 Локомотив Сочи 11 6 12 10 12 6 28.10.2018
226 "Салават Юлаев" "Динамо Москва" 11 3 13 16 7 11 28.10.2018
227 "Слован Братислава" СКА 7 10 10 10 10 7 28.10.2018
228 Авангард Торпедо 14 10 7 10 15 6 28.10.2018
229 Йокерит Северсталь 4 10 7 12 6 13 28.10.2018
230 Автомобилист "Спартак Москва" 21 2 6 3 4 13 27.10.2018
231 "Салават Юлаев" "Витязь Подольск" 9 8 15 11 11 13 27.10.2018
232 Барыс Сибирь 10 12 5 20 7 12 26.10.2018
233 Адмирал "Ак Барс" 16 9 8 13 8 8 26.10.2018
234 Нефтехимик Трактор 10 8 17 5 5 10 26.10.2018
235 "Металлург Магнитогорск" "Динамо Москва" 20 10 12 6 6 17 26.10.2018
236 "Динамо Рига" СКА 6 8 7 7 10 7 26.10.2018
237 "Слован Братислава" ЦСКА 10 7 4 14 10 7 26.10.2018
238 Йокерит "Спартак Москва" 8 9 14 3 11 6 25.10.2018
239 Барыс "Витязь Подольск" 9 9 14 9 9 7 25.10.2018
240 "Куньлунь РС" Торпедо 13 15 2 14 2 14 25.10.2018
241 Амур "Ак Барс" 8 6 10 6 6 4 24.10.2018
242 Локомотив Трактор 3 15 11 9 7 11 24.10.2018
243 Сочи "Динамо Москва" 15 3 19 6 7 20 24.10.2018
244 Автомобилист "Металлург Магнитогорск" 6 11 19 5 1 13 24.10.2018
245 Авангард "Динамо Минск" 15 12 13 10 6 14 24.10.2018
246 "Салават Юлаев" СКА 2 13 9 6 10 22 24.10.2018
247 Сибирь "Витязь Подольск" 9 11 7 9 8 11 23.10.2018
248 "Куньлунь РС" "Ак Барс" 5 3 10 6 11 10 23.10.2018
249 Адмирал Торпедо 12 7 5 5 8 11 22.10.2018
250 Амур Нефтехимик 8 9 13 8 13 11 22.10.2018
251 Локомотив "Металлург Магнитогорск" 10 4 8 3 9 6 22.10.2018
252 Северсталь Трактор 9 11 6 13 6 16 22.10.2018
253 Сочи "Слован Братислава" 18 3 20 8 9 13 22.10.2018
254 "Спартак Москва" "Динамо Москва" 12 15 15 12 7 12 22.10.2018
255 Йокерит "Динамо Рига" 3 23 4 17 8 17 22.10.2018
256 "Салават Юлаев" Авангард 14 4 14 15 6 9 22.10.2018
257 Барыс "Динамо Минск" 15 9 10 12 6 9 21.10.2018
258 Сибирь "Ак Барс" 7 14 11 2 1 14 21.10.2018
259 Адмирал Нефтехимик 5 10 14 5 7 2 21.10.2018
260 Амур Торпедо 5 4 8 5 9 7 20.10.2018
261 Локомотив Автомобилист 7 6 14 9 9 11 20.10.2018
262 Северсталь "Металлург Магнитогорск" 4 14 5 14 1 16 20.10.2018
263 СКА ЦСКА 17 7 12 13 9 12 20.10.2018
264 "Витязь Подольск" "Динамо Рига" 9 13 12 13 8 7 20.10.2018
265 "Спартак Москва" "Слован Братислава" 5 11 8 8 5 9 19.10.2018
266 Трактор Авангард 2 16 8 8 13 10 19.10.2018
267 Сибирь "Динамо Минск" 6 8 5 9 6 11 18.10.2018
268 "Куньлунь РС" Нефтехимик 11 12 8 13 9 16 18.10.2018
269 Сочи ЦСКА 14 9 16 7 9 12 18.10.2018
270 Северсталь Автомобилист 6 10 8 10 6 12 18.10.2018
271 "Ак Барс" "Салават Юлаев" 5 8 10 5 10 5 18.10.2018
272 "Витязь Подольск" Нефтехимик 6 5 10 5 14 11 18.10.2018
273 СКА "Динамо Москва" 6 3 15 14 13 17 18.10.2018
274 "Слован Братислава" Амур 9 9 10 11 7 23 18.10.2018
275 "Спартак Москва" "Динамо Рига" 6 12 8 13 5 12 18.10.2018
276 Локомотив Адмирал 12 7 10 7 11 16 16.10.2018
277 Торпедо Йокерит 12 5 10 13 4 13 16.10.2018
278 "Металлург Магнитогорск" Авангард 7 5 11 10 3 9 16.10.2018
279 Трактор Барыс 12 10 10 10 8 6 16.10.2018
280 "Ак Барс" Йокерит 6 6 13 6 18 3 16.10.2018
