 ft st fps fpr sps spr tps tpr data
393 Трактор "Салават Юлаев" 8 6 12 4 13 10 24.09.2018
394 "Динамо Рига" "Спартак Москва" 5 8 8 6 14 5 23.09.2018
395 Авангард "Куньлунь РС" 10 3 7 8 10 6 22.09.2018
396 "Динамо Москва" "Динамо Минск" 14 10 7 8 10 7 22.09.2018
397 Локомотив СКА 11 10 5 14 10 7 22.09.2018
398 Северсталь "Витязь Подольск" 14 11 9 12 10 9 22.09.2018
399 "Салават Юлаев" Барыс 8 4 13 7 4 17 22.09.2018
400 Сочи Трактор 11 14 6 4 7 7 21.09.2018
401 Нефтехимик "Ак Барс" 15 6 8 14 15 7 21.09.2018
402 Торпедо "Металлург Магнитогорск" 12 7 13 3 10 17 21.09.2018
403 Йокерит Автомобилист 13 6 8 2 8 9 21.09.2018
404 Адмирал "Слован Братислава" 8 19 14 11 11 4 21.09.2018
405 Амур ЦСКА 8 9 2 12 9 17 21.09.2018
406 "Динамо Москва" СКА 6 11 5 7 10 9 20.09.2018
407 Локомотив "Витязь Подольск" 11 8 10 8 8 17 20.09.2018
408 Северсталь "Динамо Минск" 13 5 8 7 11 0 20.09.2018
409 Сибирь Авангард 7 7 5 6 11 9 20.09.2018
410 Сочи Автомобилист 4 6 14 8 5 4 19.09.2018
411 "Спартак Москва" Трактор 11 5 18 3 11 7 19.09.2018
412 Йокерит "Металлург Магнитогорск" 8 11 10 16 5 11 19.09.2018
413 "Куньлунь РС" ЦСКА 5 3 5 5 9 11 19.09.2018
414 Адмирал "Динамо Рига" 4 12 11 4 5 6 19.09.2018
415 Амур "Слован Братислава" 9 3 13 11 8 16 19.09.2018
416 "Динамо Москва" "Витязь Подольск" 9 5 12 10 7 8 18.09.2018
417 Локомотив "Динамо Минск" 16 4 15 7 14 3 18.09.2018
418 Северсталь СКА 5 5 5 15 10 3 18.09.2018
419 Торпедо "Ак Барс" 17 13 8 9 16 8 18.09.2018
420 "Салават Юлаев" Сибирь 15 9 10 15 11 9 18.09.2018
421 Барыс Авангард 3 13 12 3 8 10 18.09.2018
422 Сочи "Металлург Магнитогорск" 10 5 9 16 7 14 17.09.2018
423 "Спартак Москва" Автомобилист 11 5 12 9 17 8 17.09.2018
424 Йокерит Трактор 5 6 17 7 12 5 17.09.2018
425 "Куньлунь РС" "Слован Братислава" 14 11 15 7 15 6 17.09.2018
426 Адмирал ЦСКА 9 10 14 9 8 13 17.09.2018
427 Амур "Динамо Рига" 8 11 12 5 4 16 17.09.2018
428 "Салават Юлаев" Нефтехимик 7 12 7 6 3 7 16.09.2018
429 Барыс "Ак Барс" 11 12 11 11 6 7 16.09.2018
430 Сибирь Торпедо 8 7 10 6 7 6 16.09.2018
431 "Куньлунь РС" "Динамо Рига" 12 15 13 6 11 7 16.09.2018
432 "Витязь Подольск" "Слован Братислава" 8 9 13 5 7 10 15.09.2018
433 Локомотив Северсталь 21 8 16 10 8 7 15.09.2018
434 "Металлург Магнитогорск" Трактор 9 4 9 9 11 4 15.09.2018
435 "Витязь Подольск" Йокерит 16 11 12 13 8 7 14.09.2018
436 "Динамо Минск" Сочи 2 6 11 10 4 8 14.09.2018
437 СКА "Спартак Москва" 8 7 12 5 7 6 14.09.2018
438 "Салават Юлаев" "Ак Барс" 9 10 9 8 8 15 14.09.2018
439 Барыс Торпедо 10 7 8 9 11 7 14.09.2018
440 Сибирь Нефтехимик 8 6 7 19 9 12 14.09.2018
441 Амур Адмирал 11 7 10 10 16 5 14.09.2018
442 Авангард "Металлург Магнитогорск" 10 7 2 13 14 7 13.09.2018
443 "Слован Братислава" "Динамо Москва" 10 10 9 5 8 12 13.09.2018
444 ЦСКА Северсталь 5 11 14 6 8 6 13.09.2018
445 Трактор Автомобилист 9 6 9 13 10 9 13.09.2018
446 Авангард "Ак Барс" 14 5 10 5 19 7 12.09.2018
447 "Витязь Подольск" Сочи 5 5 8 15 9 17 12.09.2018
448 "Динамо Минск" "Спартак Москва" 5 5 5 8 8 8 12.09.2018
449 СКА Йокерит 10 7 6 13 8 8 12.09.2018
450 "Салават Юлаев" Торпедо 13 11 14 10 6 14 12.09.2018
451 Барыс Нефтехимик 6 11 8 18 16 6 12.09.2018
452 Амур Адмирал 14 13 18 11 5 5 12.09.2018
453 "Динамо Рига" "Динамо Москва" 10 6 14 8 7 10 11.09.2018
454 "Слован Братислава" Северсталь 7 9 9 8 4 11 11.09.2018
455 ЦСКА Локомотив 20 6 7 13 11 7 11.09.2018
456 Трактор "Металлург Магнитогорск" 6 13 11 11 6 7 11.09.2018
457 Сибирь Автомобилист 6 7 9 11 9 5 11.09.2018
458 "Витязь Подольск" "Спартак Москва" 8 12 15 7 12 7 10.09.2018
459 "Динамо Минск" Йокерит 5 7 13 6 10 7 10.09.2018
460 СКА Сочи 10 5 16 7 8 9 10.09.2018
461 Авангард Нефтехимик 12 5 9 7 13 5 10.09.2018
462 "Слован Братислава" Локомотив 10 9 6 21 4 11 09.09.2018
463 Торпедо Барыс 5 6 12 12 17 2 09.09.2018
464 "Динамо Рига" Северсталь 8 7 10 16 11 7 09.09.2018
465 Автомобилист Адмирал 12 7 13 5 13 3 09.09.2018
466 "Металлург Магнитогорск" "Куньлунь РС" 18 8 10 6 12 9 09.09.2018
467 "Динамо Москва" ЦСКА 7 8 3 14 4 3 08.09.2018
468 "Динамо Рига" Сибирь 12 3 6 9 11 8 08.09.2018
469 СКА "Салават Юлаев" 12 4 11 7 15 4 08.09.2018
470 Сочи Амур 3 14 18 17 8 9 07.09.2018
471 "Спартак Москва" "Куньлунь РС" 8 4 7 7 10 8 07.09.2018
472 "Ак Барс" Барыс 8 8 9 7 6 13 07.09.2018
473 Нефтехимик "Динамо Минск" 8 7 10 12 12 10 07.09.2018
474 Торпедо "Витязь Подольск" 8 11 15 12 10 11 07.09.2018
475 Йокерит Адмирал 8 9 12 13 2 12 07.09.2018
476 "Динамо Москва" Сибирь 9 4 14 9 16 7 06.09.2018
477 Локомотив "Салават Юлаев" 15 14 21 4 4 7 06.09.2018
478 Северсталь Авангард 8 9 11 8 6 2 06.09.2018
479 Автомобилист "Слован Братислава" 5 4 16 12 6 17 06.09.2018
480 "Металлург Магнитогорск" ЦСКА 8 7 15 9 12 14 06.09.2018
481 Сочи "Куньлунь РС" 6 6 18 12 6 3 05.09.2018
482 "Спартак Москва" Адмирал 3 11 15 14 7 5 05.09.2018
483 "Ак Барс" "Витязь Подольск" 5 8 8 7 12 4 05.09.2018
484 Нефтехимик Барыс 14 8 11 8 11 6 05.09.2018
485 Торпедо "Динамо Минск" 19 14 11 13 6 12 05.09.2018
486 Йокерит Амур 4 6 8 9 7 15 05.09.2018
487 "Динамо Москва" Авангард 3 19 9 9 11 3 04.09.2018
488 Северсталь "Салават Юлаев" 11 6 13 6 7 9 04.09.2018
489 Локомотив Сибирь 16 3 14 9 10 5 04.09.2018
490 Автомобилист ЦСКА 5 7 8 13 10 10 04.09.2018
491 "Металлург Магнитогорск" "Динамо Рига" 10 7 6 11 18 7 04.09.2018
492 Трактор "Слован Братислава" 6 11 14 11 8 10 04.09.2018
493 Сочи Адмирал 11 7 14 10 13 9 03.09.2018
494 "Ак Барс" "Динамо Минск" 6 8 16 4 6 13 03.09.2018
495 Нефтехимик "Витязь Подольск" 8 5 8 5 14 12 03.09.2018
496 Торпедо СКА 9 13 11 12 11 7 03.09.2018
497 Йокерит "Куньлунь РС" 12 7 16 8 9 11 03.09.2018
498 Локомотив Авангард 6 6 10 8 11 10 02.09.2018
499 "Динамо Москва" "Салават Юлаев" 9 7 5 14 5 9 02.09.2018
500 Северсталь Сибирь 13 5 14 9 3 10 02.09.2018
501 "Спартак Москва" Амур 9 8 12 12 8 8 02.09.2018
502 Автомобилист "Динамо Рига" 12 5 7 10 13 6 02.09.2018
503 "Металлург Магнитогорск" "Слован Братислава" 7 10 8 12 10 11 02.09.2018
504 Трактор ЦСКА 8 6 4 12 4 7 02.09.2018
505 "Ак Барс" СКА 4 4 3 7 6 4 01.09.2018
